Object,PosX,PosY,PosZ,Gmeans_5__03_29_0,Ch_1_Mean,Ch_2_Mean,Ch_3_Mean,Ch_4_Mean,Ch_1_Min,Ch_2_Min,Ch_3_Min,Ch_4_Min,Ch_1_SD,Ch_2_SD,Ch_3_SD,Ch_4_SD,Ch_1_Max,Ch_2_Max,Ch_3_Max,Ch_4_Max,Ch_1_Sum,Ch_2_Sum,Ch_3_Sum,Ch_4_Sum,Ch_1_Count,Ch_2_Count,Ch_3_Count,Ch_4_Count,Ch_1_MeanThresh,Ch_2_MeanThresh,Ch_3_MeanThresh,Ch_4_MeanThresh
0.0,1.5,174.0,1.0,0,818.3478260869565,190.30434782608697,523.304347826087,130.52173913043478,549.0,143.0,295.0,88.0,226.357241524352,32.2299053430036,173.27105271080302,38.210980769713295,1266.0,245.0,951.0,244.0,18822.0,4377.0,12036.0,3002.0,23,23,23,23,1159.4,233.0,905.5,226.5
1.0,13.0,208.0,2.0,1,1062.2384615384615,181.04615384615386,556.2615384615384,231.63076923076923,539.0,86.0,123.0,58.0,324.63656014636,64.4353965916998,469.46168337006316,177.40144718834728,1929.0,371.0,2601.0,755.0,138091.0,23536.0,72314.0,30112.0,130,130,130,130,1764.75,335.72727272727275,2325.0,656.3333333333334
2.0,15.5,24.0,2.0,0,655.395061728395,205.5679012345679,422.60493827160496,357.2345679012346,530.0,108.0,139.0,105.0,101.07765319450506,41.00516378201803,230.45122472078253,210.23333891208466,957.0,293.0,957.0,892.0,53087.0,16651.0,34231.0,28936.0,81,81,81,81,909.0,258.57142857142856,858.3,814.7142857142857
3.0,14.0,214.0,3.0,1,1304.4496124031007,180.5581395348837,319.95348837209303,157.12403100775194,530.0,85.0,120.0,65.0,513.4648077223791,52.66727918273001,181.1704937890479,90.55160888202944,2654.0,396.0,1312.0,458.0,168274.0,23292.0,41274.0,20269.0,129,129,129,129,2332.75,396.0,1312.0,403.14285714285717
4.0,22.0,140.5,5.5,2,965.7383177570093,242.95638629283488,398.0529595015576,286.42367601246104,530.0,129.0,123.0,117.0,301.3843477329425,41.134892024901575,301.1496622304705,102.39910247504466,1937.0,331.0,1735.0,681.0,310002.0,77989.0,127775.0,91942.0,321,321,321,321,1716.5,296.9122807017544,1584.125,593.8
5.0,95.0,187.0,19.0,1,1297.142857142857,226.74675324675326,459.1038961038961,429.06493506493507,543.0,110.0,118.0,194.0,510.6545002975459,77.11713878227626,277.83284034516805,161.66772489343066,2725.0,422.0,1239.0,852.0,199760.0,34919.0,70702.0,66076.0,154,154,154,154,2484.3333333333335,363.47058823529414,1093.6363636363637,756.7272727272727
6.0,31.5,139.0,1.0,0,918.2957746478874,221.05633802816902,384.77464788732397,305.9718309859155,541.0,113.0,132.0,166.0,307.91860679481965,35.66826814008042,375.01311204440765,84.07309266023667,1660.0,302.0,1669.0,532.0,65199.0,15695.0,27319.0,21724.0,71,71,71,71,1506.875,270.9166666666667,1495.25,486.6
7.0,35.0,57.0,3.0,1,1102.1478873239437,206.27464788732394,282.69718309859155,246.21830985915494,531.0,95.0,104.0,93.0,408.0626767875179,50.197220171994644,155.8923973979388,89.56119316950763,2225.0,339.0,866.0,454.0,156505.0,29291.0,40143.0,34963.0,142,142,142,142,1949.0,300.07142857142856,756.4,388.5
8.0,95.5,211.5,18.0,1,728.546052631579,182.53947368421052,248.51973684210526,301.9144736842105,531.0,131.0,133.0,193.0,146.3849519469147,19.748377946283,59.72175775711197,62.35923954004368,1238.0,232.0,489.0,460.0,110739.0,27746.0,37775.0,45891.0,152,152,152,152,1185.0,215.75,455.5,415.52941176470586
9.0,95.0,220.5,19.0,0,1236.9382716049383,125.61728395061728,623.1604938271605,75.38271604938272,548.0,93.0,391.0,43.0,536.9900917540056,15.250055656648083,184.04336831234394,14.089506646113062,2556.0,176.0,1409.0,129.0,100192.0,10175.0,50476.0,6106.0,81,81,81,81,2317.5,166.0,1409.0,117.33333333333333
